unix_timestamp,Agile Import price (p/kWh),Agile Export price (p/kWh),Asset_load,New_asset_load,New_asset_load_rolling,Carbon Intensity,Carbon Optimised Emission,Carbon Unoptimised Emission,Carbon Optimised Cost Savings,Price Optimised Cost,Price Unoptimised Cost,Price Optimised Emission Savings
1717633800,15.27,7.61,1,1,1.01,121.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717635600,13.65,6.89,1,1,1.01,124.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717637400,13.65,6.89,1,1,1.01,132.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717639200,13.63,6.88,1,1,1.01,130.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717641000,13.65,6.89,1,1,1.01,131.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717642800,16.38,8.11,1,0,1.01,141.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717644600,14.76,7.39,1,1,1.01,158.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717646400,18.48,9.05,1,1,1.01,177.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717648200,19.64,9.57,1,1,1.01,198.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717650000,19.82,9.65,1,1,1.01,209.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717651800,22.05,10.65,1,1,1.01,199.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717653600,18.9,9.24,1,1,1.01,207.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717655400,20.5,9.95,1,1,1.01,196.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717657200,19.93,9.7,1,1,1.01,170.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717659000,19.36,9.45,1,1,1.01,156.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717660800,18.52,9.07,1,0,1.01,136.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717662600,17.47,8.6,1,1,1.01,122.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717664400,15.64,7.78,1,1,1.01,113.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717666200,15.64,7.78,1,1,1.01,109.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717668000,15.64,7.78,1,1,1.01,102.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717669800,15.64,7.78,1,1,1.01,107.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717671600,14.72,7.37,1,1,1.01,98.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717673400,13.84,6.97,1,1,1.01,96.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717675200,12.89,6.55,1,1,1.01,91.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717677000,11.74,6.03,1,1,1.01,94.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717678800,11.13,5.76,1,0,1.01,97.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717680600,10.42,5.44,1,1,1.01,112.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717682400,10.92,5.67,1,1,1.01,119.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717684200,11.13,5.76,1,1,1.01,130.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717686000,28.14,13.07,1,1,1.01,202.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717687800,28.98,13.44,1,1,1.01,220.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717689600,31.79,14.7,1,1,1.01,247.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717691400,31.08,14.38,1,1,1.01,260.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717693200,33.94,15.66,1,1,1.01,273.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717695000,34.36,15.85,1,1,1.01,275.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717696800,23.65,11.36,1,0,1.01,262.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717698600,23.02,11.08,1,1,1.01,263.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717700400,23.88,11.47,1,1,1.01,246.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717702200,23.88,11.47,1,1,1.01,231.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717704000,21.84,10.56,1,1,1.01,234.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717705800,20.16,9.8,1,1,1.01,234.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717707600,18.9,9.24,1,1,1.01,206.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717709400,16.7,8.25,1,1,1.01,179.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717711200,18.06,8.86,1,1,1.01,173.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717713000,17.85,8.77,1,1,1.01,170.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717714800,16.48,8.16,1,0,1.01,187.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717716600,17.2,8.48,1,1,1.01,186.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717718400,15.64,7.78,1,1,1.01,185.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717720200,17.9,8.8,1,1,1.01,181.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717722000,17.64,8.68,1,1,1.01,178.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717723800,15.56,7.75,1,1,0.9,182.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717725600,15.56,7.75,1,1,0.9,183.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717727400,15.12,7.55,1,1,0.9,178.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717729200,15.56,7.75,1,1,0.9,184.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717731000,14.28,7.17,1,1,0.9,182.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
1717732800,15.56,7.75,1,0,0.9,182.0,4812.0,10242.0,428.64,4812.0,10242.0,2593.0
